Entity,Code,Year,number_policies_EU
Rwanda,RWA,2022,29
Saint Helena,SHN,2022,4
Saint Kitts and Nevis,KNA,2022,7
Saint Lucia,LCA,2022,7
Saint Vincent and the Grenadines,VCT,2022,5
Samoa,WSM,2022,9
San Marino,SMR,2022,1
Sao Tome and Principe,STP,2022,4
Saudi Arabia,SAU,2022,6
Senegal,SEN,2022,15
Serbia,SRB,2022,51
Seychelles,SYC,2022,19
Sierra Leone,SLE,2022,9
Singapore,SGP,2022,17
Slovakia,SVK,2022,96
Slovenia,SVN,2022,82
Solomon Islands,SLB,2022,7
Somalia,SOM,2022,1
South Africa,ZAF,2022,38
South Korea,KOR,2022,33.5
South Sudan,SSD,2022,3
Spain,ESP,2022,97
Sri Lanka,LKA,2022,13
Sudan,SDN,2022,6
Suriname,SUR,2022,5
Sweden,SWE,2022,88
Switzerland,CHE,2022,23
Syria,SYR,2022,18
Taiwan,TWN,2022,8
Tajikistan,TJK,2022,10
Tanzania,TZA,2022,14
Thailand,THA,2022,11
Togo,TGO,2022,10
Tonga,TON,2022,8
Trinidad and Tobago,TTO,2022,15
Tunisia,TUN,2022,6
Turkey,TUR,2022,77
Turkmenistan,TKM,2022,10
Turks and Caicos Islands,TCA,2022,2
Tuvalu,TUV,2022,5
Uganda,UGA,2022,7.5
Ukraine,UKR,2022,16
United Arab Emirates,ARE,2022,6
United Kingdom,GBR,2022,73
United States,USA,2022,49
Uruguay,URY,2022,25
Uzbekistan,UZB,2022,24
Vanuatu,VUT,2022,6
Venezuela,VEN,2022,14
Vietnam,VNM,2022,44
Yemen,YEM,2022,6
Zambia,ZMB,2022,19
Zimbabwe,ZWE,2022,10
